Status,Name,Place ID,Latitude,Longtitude,Adress,Price Level,Time travel,Rating,Rating number
OPERATIONAL,Petos Authentic Greek Restaurant,ChIJs2OYn4NNa4gRSakv--mscwo,39.9076371,-86.06464319999999,"6020 E 82nd St H&M suit #1411 Main Entrance, Indianapolis",,18.0,4.9,253
OPERATIONAL,Major Restaurant,ChIJ40PYNvmnbIgRUY9kWpWjD2o,39.75059299999999,-86.2606199,"1150 S Mickley Ave, Indianapolis",2.0,31.0,4.6,427
OPERATIONAL,Charleston's Restaurant,ChIJ5dYsTtdMa4gRRGUhlgGS4nI,39.9045334,-86.0483398,"6815 82nd St, Indianapolis",2.0,19.0,4.5,1457
OPERATIONAL,The Capital Grille,ChIJZ_7nbbxQa4gROj-HMNxki3w,39.7674064,-86.159195,"40 W Washington St, Indianapolis",4.0,21.0,4.6,820
OPERATIONAL,Bluebeard,ChIJ1b2Xo5xQa4gR5sXiiaBDwpM,39.7575325,-86.14578639999999,"653 Virginia Ave, Indianapolis",3.0,22.0,4.7,1366
OPERATIONAL,Meridian Restaurant & Bar,ChIJA56O0JRTa4gRK5QMs909OlA,39.8568055,-86.15772170000001,"5694 N Meridian St, Indianapolis",3.0,6.0,4.5,365
OPERATIONAL,Ristorante Roma,ChIJdaziQbGtFIgRymQ-r_q7ick,39.9724413,-86.1290269,"620 S Rangeline Rd, Carmel",,24.0,4.7,159
OPERATIONAL,Aristocrat Pub & Restaurant,ChIJg2M2EsVTa4gRmpWQYKqPX_0,39.8472823,-86.14601569999999,"5212 N College Ave, Indianapolis",2.0,2.0,4.5,1182
OPERATIONAL,Yats,ChIJCS4GCcZTa4gRtLObEn7MrLY,39.8506202,-86.1455307,"5363 N College Ave, Indianapolis",1.0,3.0,4.8,1279
OPERATIONAL,Tinker Street Restaurant,ChIJ910XseZQa4gRa_bRVuY8Gcg,39.7885624,-86.15066259999999,"402 E 16th St, Indianapolis",3.0,14.0,4.7,702
OPERATIONAL,"Burritos & Beer Restaurant, LLC",ChIJG1EDRAK0FIgRCMbX9-qfLKY,39.9928335,-86.0059088,"14094 Trade Center Dr, Fishers",1.0,25.0,4.7,329
OPERATIONAL,Ambrosia,ChIJgfHVKK9Ta4gRsPMRdGRfG4s,39.862479,-86.145641,"5903 N College Ave, Indianapolis",3.0,5.0,4.7,427
OPERATIONAL,Livery,ChIJwZH4me1Qa4gRZggPtsX015Q,39.7766517,-86.1454802,"720 N College Ave, Indianapolis",2.0,18.0,4.7,1490
OPERATIONAL,CoreLife Eatery,ChIJbchQHKhSa4gR6sWl1a-nlqk,39.9060987,-86.0939471,"4335 E 82nd St, Indianapolis",2.0,17.0,4.6,605
OPERATIONAL,Yard House,ChIJUYeec71Qa4gRyRvSkhRsUxo,39.7653282,-86.1591399,"15 W Maryland St, Indianapolis",2.0,21.0,4.4,2326
OPERATIONAL,Seasons 52,ChIJi85sTbRSa4gRroWMZ11X2yU,39.9130105,-86.11198379999999,"8650 Keystone Crossing, Indianapolis",2.0,19.0,4.5,1339
OPERATIONAL,Jamaican Reggae Grill,ChIJD-F8E7GtFIgRBhXci2P31tE,39.9715834,-86.1290054,"622 S Rangeline Rd, Carmel",1.0,24.0,4.6,522
OPERATIONAL,Axum Ethiopian Restaurant,ChIJ1cq18MFQa4gR3v-F_Tyx-PE,39.7786645,-86.155585,"825 N Pennsylvania St, Indianapolis",2.0,16.0,4.7,413
OPERATIONAL,Charleston's Restaurant,ChIJxyy4-3iuFIgRvr9yp55dbMA,40.0013683,-86.12805689999999,"14636 Greyhound Plaza, Carmel",2.0,26.0,4.5,1058
OPERATIONAL,Rusty Bucket Restaurant and Tavern,ChIJg-xrUalUa4gRsnYSQeutYK4,39.91306100000001,-86.17968169999999,"1130 W 86th St, Indianapolis",2.0,16.0,4.4,946
